project_id,title,description,availability,max_persone,is_full
1,Website Redesign,Complete overhaul of corporate website,full,5,1
2,Database Migration,Migrate legacy DB to cloud,open,7,0
3,Marketing Campaign,Launch new product campaign,open,5,0
4,App Development,Build mobile app MVP,full,4,1
5,Office Renovation,Repaint and basic repairs,open,6,0
6,Ecommerce Platform,New e-shop implementation,open,5,0
7,Data Warehouse,Consolidate analytics data,open,6,0
8,SEO Optimization,Improve organic traffic,open,4,0
9,Company Rebrand,New visual identity and assets,open,4,0
10,CI/CD Pipeline,Set up automated deploys,full,3,1
11,Interior Carpentry,Install shelves and cabinets,open,4,0
12,Plumbing Upgrade,Replace pipes in block B,open,4,0
13,Content Hub,Centralize blog and documentation,full,3,1
14,UX Refresh,Improve user flows and interactions,full,3,1
15,Legacy Cleanup,Remove deprecated code and modules,open,4,0
16,Product Photoshoot,Create marketing visuals and assets,open,6,0
17,Excel Automation,Macros and reports automation,open,7,0
18,Docker Migration,Containerize backend services,full,3,1
19,Customer Survey,Market research and analysis,full,3,1
20,Testing Suite,Build automated test suites,open,7,0
21,Frontend Revamp,Migrate frontend to React,open,4,0
22,Imbiancatura App.to,Full apartment painting and finishing,open,6,0
23,Social Media Plan,Quarterly content calendar and ads,open,5,0
24,Analytics Dashboard,KPI tracking and visualizations,open,7,0
25,Security Audit,Penetration testing and remediation,open,5,0
26,Training Program,Internal upskilling and workshops,open,7,0
27,API Gateway,Centralize and secure microservice APIs,full,3,1
28,Photo Retouching,Edit and retouch product photos,full,3,1
29,Office Furniture,Procurement and installation of desks,open,4,0
30,Localization,Translate app and content to IT/EN,open,6,0
31,Backup Strategy,Daily backups and retention policy,open,7,0
32,Recruiting Drive,Hire three backend developers,open,7,0
33,Accessibility Fixes,Make site WCAG compliant,open,7,0
34,Prototype IoT,Develop small smart device prototype,open,4,0
35,Migration Wordpress,Move corporate blog to headless CMS,open,6,0
